frp,estado,m_estado,municipio,bioma,riscofogo,diasemchuv,superficie,avg_prep_total,avg_pressao_atm,avg_rad_global,avg_temp_ar,avg_umd_ar,avg_vento_velo,hora,minuto,mes,dia_da_semana,quadrimestre
36.9,MATO GROSSO DO SUL,MATO GROSSO DO SUL                      ,CORUMBA,Pantanal,1.0,10.0,,0.0,958.5958333333333,1846.8583333333333,20.5125,45.541666666666664,3.591666666666667,18,5,4,4,2
70.0,MATO GROSSO DO SUL,MATO GROSSO DO SUL                      ,CORUMBA,Pantanal,0.9,,,0.0,955.375,1906.2166666666667,17.954166666666666,61.958333333333336,3.9583333333333335,18,20,4,2,2
56.9,MATO GROSSO DO SUL,MATO GROSSO DO SUL                      ,CORUMBA,Pantanal,0.9,,,0.0,955.375,1906.2166666666667,17.954166666666666,61.958333333333336,3.9583333333333335,18,20,4,2,2
53.2,MATO GROSSO DO SUL,MATO GROSSO DO SUL                      ,CORUMBA,Pantanal,0.8,,,0.0,955.375,1906.2166666666667,17.954166666666666,61.958333333333336,3.9583333333333335,18,20,4,2,2
117.8,MATO GROSSO DO SUL,MATO GROSSO DO SUL                      ,CORUMBA,Pantanal,0.4,9.0,,0.0,958.175,1869.225,18.008333333333333,50.916666666666664,3.466666666666667,17,25,4,3,2
26.1,MATO GROSSO DO SUL,MATO GROSSO DO SUL                      ,CORUMBA,Pantanal,0.4,9.0,,0.0,958.175,1869.225,18.008333333333333,50.916666666666664,3.466666666666667,17,25,4,3,2
30.8,MATO GROSSO DO SUL,MATO GROSSO DO SUL                      ,CORUMBA,Pantanal,0.3,9.0,,0.0,958.175,1869.225,18.008333333333333,50.916666666666664,3.466666666666667,17,25,4,3,2
76.9,MATO GROSSO DO SUL,MATO GROSSO DO SUL                      ,CORUMBA,Pantanal,0.7,5.0,,0.0,958.175,1869.225,18.008333333333333,50.916666666666664,3.466666666666667,17,25,4,3,2
22.9,MATO GROSSO DO SUL,MATO GROSSO DO SUL                      ,CORUMBA,Pantanal,1.0,9.0,,0.0,958.175,1869.225,18.008333333333333,50.916666666666664,3.466666666666667,17,25,4,3,2
25.1,MATO GROSSO DO SUL,MATO GROSSO DO SUL                      ,CORUMBA,Pantanal,1.0,9.0,,0.0,958.175,1869.225,18.008333333333333,50.916666666666664,3.466666666666667,17,25,4,3,2
76.4,MATO GROSSO DO SUL,MATO GROSSO DO SUL                      ,CORUMBA,Pantanal,0.3,9.0,,0.0,958.175,1869.225,18.008333333333333,50.916666666666664,3.466666666666667,17,25,4,3,2
22.4,MATO GROSSO DO SUL,MATO GROSSO DO SUL                      ,CORUMBA,Pantanal,1.0,9.0,,0.0,958.175,1869.225,18.008333333333333,50.916666666666664,3.466666666666667,17,25,4,3,2
62.2,MATO GROSSO DO SUL,MATO GROSSO DO SUL                      ,CORUMBA,Pantanal,0.3,9.0,,0.0,958.175,1869.225,18.008333333333333,50.916666666666664,3.466666666666667,17,25,4,3,2
8.0,MATO GROSSO DO SUL,MATO GROSSO DO SUL                      ,CORUMBA,Pantanal,0.9,2.0,,0.0,958.175,1869.225,18.008333333333333,50.916666666666664,3.466666666666667,17,25,4,3,2
33.3,MATO GROSSO DO SUL,MATO GROSSO DO SUL                      ,CORUMBA,Pantanal,0.3,9.0,,0.0,958.175,1869.225,18.008333333333333,50.916666666666664,3.466666666666667,17,25,4,3,2
16.3,MATO GROSSO DO SUL,MATO GROSSO DO SUL                      ,CORUMBA,Pantanal,0.6,9.0,,0.0,958.175,1869.225,18.008333333333333,50.916666666666664,3.466666666666667,17,25,4,3,2
32.2,MATO GROSSO DO SUL,MATO GROSSO DO SUL                      ,CORUMBA,Pantanal,0.8,5.0,,0.0,958.175,1869.225,18.008333333333333,50.916666666666664,3.466666666666667,17,25,4,3,2
27.1,MATO GROSSO DO SUL,MATO GROSSO DO SUL                      ,CORUMBA,Pantanal,0.2,2.0,,0.0,958.175,1869.225,18.008333333333333,50.916666666666664,3.466666666666667,17,25,4,3,2
16.1,MATO GROSSO DO SUL,MATO GROSSO DO SUL                      ,CORUMBA,Pantanal,0.6,2.0,,0.0,958.175,1869.225,18.008333333333333,50.916666666666664,3.466666666666667,17,25,4,3,2
15.4,MATO GROSSO DO SUL,MATO GROSSO DO SUL                      ,CORUMBA,Pantanal,0.7,9.0,,0.0,958.175,1869.225,18.008333333333333,50.916666666666664,3.466666666666667,17,25,4,3,2
45.4,MATO GROSSO DO SUL,MATO GROSSO DO SUL                      ,CORUMBA,Pantanal,0.6,5.0,,0.0,958.175,1869.225,18.008333333333333,50.916666666666664,3.466666666666667,17,25,4,3,2
44.2,MATO GROSSO,MATO GROSSO                             ,POCONE,Pantanal,0.5,11.0,,0.0,995.7416666666667,1784.0666666666666,24.258333333333333,60.5,1.4041666666666668,18,10,4,4,2
34.8,MATO GROSSO DO SUL,MATO GROSSO DO SUL                      ,CORUMBA,Pantanal,0.4,10.0,,0.0,958.5958333333333,1846.8583333333333,20.5125,45.541666666666664,3.591666666666667,18,10,4,4,2
82.0,MATO GROSSO DO SUL,MATO GROSSO DO SUL                      ,CORUMBA,Pantanal,0.4,10.0,,0.0,958.5958333333333,1846.8583333333333,20.5125,45.541666666666664,3.591666666666667,18,10,4,4,2
76.8,MATO GROSSO DO SUL,MATO GROSSO DO SUL                      ,CORUMBA,Pantanal,0.4,10.0,,0.0,958.5958333333333,1846.8583333333333,20.5125,45.541666666666664,3.591666666666667,18,10,4,4,2
58.5,MATO GROSSO DO SUL,MATO GROSSO DO SUL                      ,CORUMBA,Pantanal,0.4,10.0,,0.0,958.5958333333333,1846.8583333333333,20.5125,45.541666666666664,3.591666666666667,18,10,4,4,2
37.8,MATO GROSSO DO SUL,MATO GROSSO DO SUL                      ,CORUMBA,Pantanal,0.9,3.0,,0.0,958.5958333333333,1846.8583333333333,20.5125,45.541666666666664,3.591666666666667,18,10,4,4,2
47.3,MATO GROSSO DO SUL,MATO GROSSO DO SUL                      ,CORUMBA,Pantanal,0.2,3.0,,0.0,958.5958333333333,1846.8583333333333,20.5125,45.541666666666664,3.591666666666667,18,10,4,4,2
99.2,MATO GROSSO DO SUL,MATO GROSSO DO SUL                      ,CORUMBA,Pantanal,0.2,3.0,,0.0,958.5958333333333,1846.8583333333333,20.5125,45.541666666666664,3.591666666666667,18,10,4,4,2
83.2,MATO GROSSO DO SUL,MATO GROSSO DO SUL                      ,CORUMBA,Pantanal,0.4,10.0,,0.0,958.5958333333333,1846.8583333333333,20.5125,45.541666666666664,3.591666666666667,18,10,4,4,2
42.8,MATO GROSSO DO SUL,MATO GROSSO DO SUL                      ,CORUMBA,Pantanal,0.5,3.0,,0.0,958.5958333333333,1846.8583333333333,20.5125,45.541666666666664,3.591666666666667,18,10,4,4,2
39.8,MATO GROSSO DO SUL,MATO GROSSO DO SUL                      ,CORUMBA,Pantanal,0.4,3.0,,0.0,958.5958333333333,1846.8583333333333,20.5125,45.541666666666664,3.591666666666667,18,10,4,4,2
127.8,MATO GROSSO DO SUL,MATO GROSSO DO SUL                      ,CORUMBA,Pantanal,0.2,3.0,,0.0,958.5958333333333,1846.8583333333333,20.5125,45.541666666666664,3.591666666666667,18,10,4,4,2
261.5,MATO GROSSO DO SUL,MATO GROSSO DO SUL                      ,CORUMBA,Pantanal,0.3,3.0,,0.0,958.5958333333333,1846.8583333333333,20.5125,45.541666666666664,3.591666666666667,18,10,4,4,2
186.3,MATO GROSSO DO SUL,MATO GROSSO DO SUL                      ,CORUMBA,Pantanal,0.3,3.0,,0.0,958.5958333333333,1846.8583333333333,20.5125,45.541666666666664,3.591666666666667,18,10,4,4,2
51.9,MATO GROSSO,MATO GROSSO                             ,POCONE,Pantanal,1.0,12.0,,1.625,993.6041666666666,1568.246153846154,26.5625,75.45833333333333,1.1708333333333334,17,55,4,6,2
37.4,MATO GROSSO,MATO GROSSO                             ,POCONE,Pantanal,1.0,12.0,,1.625,993.6041666666666,1568.246153846154,26.5625,75.45833333333333,1.1708333333333334,17,55,4,6,2
113.2,MATO GROSSO,MATO GROSSO                             ,POCONE,Pantanal,0.7,12.0,,1.625,993.6041666666666,1568.246153846154,26.5625,75.45833333333333,1.1708333333333334,17,55,4,6,2
15.6,MATO GROSSO,MATO GROSSO                             ,CACERES,Pantanal,1.0,12.0,,1.625,993.6041666666666,1568.246153846154,26.5625,75.45833333333333,1.1708333333333334,17,55,4,6,2
49.8,MATO GROSSO DO SUL,MATO GROSSO DO SUL                      ,CORUMBA,Pantanal,0.5,12.0,,0.0,956.6375,1682.45,24.120833333333334,58.25,2.8916666666666666,17,55,4,6,2
35.0,MATO GROSSO DO SUL,MATO GROSSO DO SUL                      ,CORUMBA,Pantanal,0.6,12.0,,0.0,956.6375,1682.45,24.120833333333334,58.25,2.8916666666666666,17,55,4,6,2
23.5,MATO GROSSO DO SUL,MATO GROSSO DO SUL                      ,CORUMBA,Pantanal,0.5,12.0,,0.0,956.6375,1682.45,24.120833333333334,58.25,2.8916666666666666,17,55,4,6,2
22.2,MATO GROSSO DO SUL,MATO GROSSO DO SUL                      ,CORUMBA,Pantanal,0.5,12.0,,0.0,956.6375,1682.45,24.120833333333334,58.25,2.8916666666666666,17,55,4,6,2
28.6,MATO GROSSO DO SUL,MATO GROSSO DO SUL                      ,CORUMBA,Pantanal,0.5,12.0,,0.0,956.6375,1682.45,24.120833333333334,58.25,2.8916666666666666,17,55,4,6,2
17.3,MATO GROSSO DO SUL,MATO GROSSO DO SUL                      ,CORUMBA,Pantanal,0.5,12.0,,0.0,956.6375,1682.45,24.120833333333334,58.25,2.8916666666666666,17,55,4,6,2
